"Enable in backend","Activar en el back-office"
"Enable in frontend","Activar sobre el front-office"
"Programs version","Versión de los programas"
"INCOMPLETE MODULE INSTALLATION","INSTALLACIÓN INCOMPLETA DEL MODULO"
"There is conflict (<em>%s</em>).","Hay un conflicto (<em lang=""en"">%s</em>)."
"not available","no disponible"
"Yes with PHP-TIDY (%s)","Sí con PHP-TIDY (%s)"
