"Enable in backend","Attivare nel back-office"
"Enable in frontend","Attivare sul front-office"
"Programs version","Versione dei programmi"
"INCOMPLETE MODULE INSTALLATION","INSTALLAZIONE INCOMPLETA DEL MODULO"
"not available","non disponibile"
"Yes with PHP-TIDY (%s)","Sì con PHP-TIDY (%s)"
