"Minify and cache","Minification et cache"
"Automatically set the language of the backend","Définir automatiquement la langue du back-office"
"Prioritize translations of theme","Prioriser les traductions du thème"
"Share translations when developer mode is enabled","Partager les traductions lorsque le mode développeur est activé"
"Only use the favicon.ico","Utiliser uniquement le favicon.ico"
"<abbr title=""HyperText Markup Language"">HTML</abbr> compression","Compression <abbr title=""Langage de balisage hypertexte (HyperText Markup Language)"">HTML</abbr>"
"If yes, only if the webserver don't do it.","Si oui, uniquement si le serveur ne le fait pas."
"<abbr title=""HyperText Markup Language"">HTML</abbr> minification","Minification <abbr title=""Langage de balisage hypertexte (HyperText Markup Language)"">HTML</abbr>"
"Enable in backend","Activer dans le back-office"
"May cause display problems.","Peut provoquer des problèmes d'affichage."
"Enable in frontend","Activer sur le front-office"
"Exclude list","Liste d'exclusion"
"Based on <em>getFullActionName(/)</em>.","Basée sur <em lang=""en"">getFullActionName(/)</em>."
"<abbr title=""Cascading Style Sheets"">CSS</abbr> and <abbr title=""JavaScript"">JS</abbr> minification","Minification <abbr title=""Feuilles de style en cascade (Cascading Style Sheets)"">CSS</abbr> et <abbr title=""JavaScript"">JS</abbr>"
"May cause display problems. Get source files only form <em>layout</em>.","Peut provoquer des problèmes d'affichage. Récupère les fichiers sources uniquement depuis le <em lang=""en"">layout</em>."
"Full path to clean-css","Chemin complet vers <span lang=""en"">clean-css</span>"
"Full path to uglify-js","Chemin complet vers <span lang=""en"">uglify-js</span>"
"Programs version","Version des programmes"
"Cache solution","Solution aux problèmes de cache"
"Numeric value","Valeur numérique"
"When developer mode is enabled, a new value is generated each time a page is loaded.","Lorsque le mode développeur est activé, une nouvelle valeur est générée à chaque fois qu'une page est chargée."
"See {{Minify and cache}}.","Voir {{Minification et cache}}."
"INCOMPLETE MODULE INSTALLATION","INSTALLATION INCOMPLÈTE DU MODULE"
"There is conflict (<em>%s</em>).","Il y a un conflit (<em lang=""en"">%s</em>)."
"not available","non disponible"
"Yes with PHP-TIDY (%s)","Oui avec PHP-TIDY (%s)"
"DB","BDD"
