"Enable in backend","Im Backend aktivieren"
"Enable in frontend","Für Frontend aktivieren"
"Programs version","Version des Programms"
"not available","nicht verfügbar"
"Yes with PHP-TIDY (%s)","Ja mit PHP-TIDY (%s)"
